,VMTH,DOB,# days signs b4 dx,date of dx,Visit,Age ,Weight,Constipation,Anemia,Fleas,Rads,Other,Died,T4,Frequency,Dosage T4,T3,Dosage T3,Control,Date of sample,Sex,Lab,TT4 (RIA) (nmol),TT4 (RIA) ,TT4 (CLIA) nmol/L,TT4 CLIA ug/dL,TT4 ELISA,Tt4 Truforma ,T3 (RIA),FT4(RIA) pmol/L,FT4 RIA (ng/dL),FT4 (CLIA),FT4 Idexx,FT4d,cTSH (CLIA),TSH Idexx,Truforma TSH,IGF-1,Comments
Button,756023,"May 27, 2023",,"July 23, 2023",,95,0.945,,,,,,,50,2,52.91005291,0,0,2,"August 30, 2023",M,UCD,,,,3.00,,1.66,,,,1.31,,,3.5,,0.651,,
Button,756023,"May 27, 2023",,,,104,1.1,,,,,,,62.5,2,56.81818182,0,0,3,"September 8, 2023",M,UCD,,,,>15,,,,,,>6,,,0.17,,,,
Button,756023,"May 27, 2023",,,,135,2.1,,,,,,,75,2,35.71428571,0,0,1,"October 9, 2023",MC,UCD,,,,4.20,,,,,,1.72,,,0.11,,,,
Button,756023,"May 27, 2023",,,,191,3.4,,,,,,,75,2,22.05882353,0,0,1,"December 4, 2023",MC,MSU,,,41,3.19,,,,47,3.65,,,,0.03,,,,
Button,756023,"May 27, 2023",,,,304,4.2,,,,,,,75,2,17.85714286,0,0,1,"March 26, 2024",MC,MSU,,,33,2.56,,,1.5,47,3.65,,,,0.33,,,,
Button,756023,"May 27, 2023",,,,402,4.2,,,,,,,75,2,17.85714286,0,0,1,"July 2, 2024",MC,MSU,,,44,3.42,,,,39,3.03,,,,0.02,,,,
Button,756023,"May 27, 2023",,,,572,3.8,,,,,1,,75,1,19.73684211,0,0,3,"December 19, 2024",MC,UCD,,,,5.00,,,,,,2.07,,,0.03,,,,
Button,756023,"May 27, 2023",,,,636,3.9,,,,,1,,37.5,1,9.615384615,0,0,1,"February 21, 2025",MC,MSU,,,41,3.19,,,0.6,34,2.64,,,,0.19,,,,
Button,756023,"May 27, 2023",,,,762,4.4,,,,,1,,37.5,1,8.522727273,0,0,1,"June 27, 2025",MC,MSU,,,31,2.41,,,0.4,34,2.64,,,,0.14,,,,
Button,756023,"May 27, 2023",,,,863,5,,,,,1,,37.5,1,7.5,0,0,1,"October 6, 2025",MC,MSU,,,36,2.80,,,0.5,38,2.95,,,,0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A049403 Little Dude,757918,"August 3, 2023",5,8/31/2023,1,28,0.47,2,1,2,3,,,,,0,,,,"August 31, 2023",M,UCD,,,,<0.5,,0.98,,,,<0.3,,,>12,,>1.5 LOQ,,
A049403 Little Dude,757918,8/3/2023,,,,67,1.2,,,,,,,50,2,41.66666667,0,0,2,"October 9, 2023",M,UCD,,,,2.90,,,,,,1.54,,,7.96,,,,
A049403 Little Dude,757918,8/3/2023,,,,78,1.4,,,,,,,75,2,53.57142857,0,0,4,"October 20, 2023",M,UCD,,,,8.80,,,,,,4.6,,,2.88,,,,
A049403 Little Dude,757918,8/3/2023,,,,123,2.2,,,,,,,75,2,34.09090909,0,0,2,"December 4, 2023",M,MSU,,,29,2.25,,,1.1,35,2.72,,,,>12,,,,
A049403 Little Dude,757918,8/3/2023,,,,151,2.87,,,,,,,125,2,43.55400697,0,0,1,"January 1, 2024",MN,MSU,,,34,2.64,,,,45,3.50,,,,0.32,,,,
A049403 Little Dude,757918,8/3/2023,,,,193,3.5,,,,,,,125,2,35.71428571,0,0,5,"February 12, 2024",MN,MSU,,,46,3.57,,,1.5,47,3.65,,,,0.5,,,,
A049403 Little Dude,757918,8/3/2023,,,,236,4.3,,,,,,,150,2,34.88372093,0,0,1,"March 26, 2024",MN,MSU,,,44,3.42,,,1.3,54,4.20,,,,0.1,,,,
A049403 Little Dude,757918,8/3/2023,,,,326,4.8,,,,,,,150,2,31.25,0,0,1,"June 24, 2024",MC,MSU,,,38,2.95,,,,40,3.11,,,,0.1,,,,
A049403 Little Dude,757918,8/3/2023,,,,445,5.7,,,,,,,150,2,26.31578947,0,0,1,"October 21, 2024",MC,MSU,,,17,1.32,,,0.8,QNS,,,,,0.02,,,,
A049403 Little Dude,757918,8/3/2023,,,,624,6,,,,,,,150,2,25,0,0,1,"April 18, 2025",MC,MSU,,,35,2.72,,,0.4,45,3.50,,,,0.28,,,,
A049403 Little Dude,757918,8/3/2023,,,,826,6,,,,,,,150,2,25,0,0,3,"November 6, 2025",MC,MSU,,,60,4.66,,,0.9,58,4.51,,,,0.04,,,,
A049403 Little Dude,757918,8/3/2023,,,,901,6,,,,,,,300,1,50,0,0,3,"January 20, 2026",MC,MSU,,,169,13.13,,,1.4,128,9.95,,,,0.01,,,,
A049403 Little Dude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pici Young,759989,"June 1, 2023",,8/11/2023,1,71,0.995,1,2,3,1,4,,,,,,,,"August 11, 2023",F,Idexx,,,,,<0.4,,,,,,<0.3,,,>12,,,
Pici Young,759989,"June 1, 2023",,8/11/2023,,106,1.5,,,,,4,,75,2,50,0,0,2,"September 15, 2023",f,Idexx,,,,,3.80,,,,,,,,,>12,,,
Pici Young,759989,"June 1, 2023",,8/11/2023,,159,2.1,,,,,4,,75,2,35.71428571,0,0,5,"November 7, 2023",F,MSU,,,76,5.91,,,1.2,72,5.59,,,,1.23,,,,while on comppounded LT4 
Pici Young,759989,6/1/2023,,,,186,2.4,,,,,4,,75,2,31.25,0,0,1,"December 4, 2023",F,MSU,,,49,3.81,,,,48,3.73,,,,0.32,,,,
Pici Young,759989,6/1/2023,,,,223,2.5,,,,,"3,4",,75,2,30,0,0,1,"January 10, 2024",FS,MSU,,,56,4.35,,,1.4,59,4.58,,,,0.29,,,,
Pici Young,759989,6/1/2023,,,,278,2.9,,,,,"3,4",,75,2,25.86206897,0,0,1,"March 5, 2024",FS,MSU,,,53,4.12,,,1.5,60,4.66,,,,0.13,,,,
Pici Young,759989,6/1/2023,,,,365,3.2,,,,,"3,4",,75,2,23.4375,0,0,3,"May 31, 2024",FS,MSU,,,57,4.43,,,1.5,55,4.27,,,,0.16,,,,
Pici Young,759989,6/1/2023,,,,482,3.4,,,,,"3,4",,150,1,44.11764706,0,0,3,"September 25, 2024",FS,MSU,,,56,4.35,,,1.6,72,5.59,,,,0.08,,,,
Pici Young,759989,6/1/2023,,,,553,3.6,,,,,"3,4",,100,1,27.77777778,0,0,1,"December 5, 2024",FS,MSU,,,43,3.34,,,0.5,48,3.73,,,,0.1,,,,
Pici Young,759989,6/1/2023,,,,714,3.1,,,,,"3,4",,100,1,32.25806452,0,0,1,"May 15, 2025",FS,MSU,,,33,2.56,,,0.5,30,2.33,,,,0.23,,,,
Pici Young,759989,6/1/2023,,,,896,3.1,,,,,"3,4",,100,1,32.25806452,0,0,1,"November 13, 2025",FS,MSU,,,43,3.34,,,0.4,36,2.80,,,,0.23,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misty OKP,759621,"June 18, 2023",,,1,,0.53,2,3,3,3,,,0,0,0,0,0,,"October 4, 2025",,Idexx,,,,,<0.4,,,,,,,,,10,,,
Misty OKP,759621,"June 18, 2023",,,,142,0.778,,,,,,,37.5,2,48.20051414,0,0,2,"November 7, 2023",F,MSU,,,34,2.64,,,0,27,2.10,,,,5.85,,,,
Misty OKP,759621,6/18/2023,,,,170,1.5,,,,,,,50,2,33.33333333,0,0,2,"December 5, 2023",F,MSU,,,16,1.24,,,0.6,18,1.40,,,,6.92,,,,
Misty OKP,759621,6/18/2023,,,,204,1.8,,,,,,,75,2,41.66666667,0,0,2,"January 8, 2024",F,MSU,,,30,2.33,,,0.9,32,2.49,,,,6.44,,,,
Misty OKP,759621,6/18/2023,,,,225,2,,,,,,,125,2,62.5,0,0,3,"January 29, 2024",F,UCD,,,,8.00,,,,,,5.63,,,0.16,,,,
Misty OKP,759621,6/18/2023,,,,261,2.7,,,,,,,100,2,37.03703704,0,0,2,"March 5, 2024",FS,MSU,,,36,2.80,,,0.8,44,3.42,,,,11.9,,,,
Misty OKP,759621,6/18/2023,,,,302,3.1,,,,,,,125,2,40.32258065,0,0,2,"April 15, 2024",FS,MSU,,,35,2.72,,,1,42,3.26,,,,1.27,,,,
Misty OKP,759621,6/18/2023,,,,326,3.1,,,,,,,150,2,48.38709677,0,0,1,"May 9, 2024",FS,MSU,,,54,4.20,,,1,49,3.81,,,,0.17,,,,
Misty OKP,759621,6/18/2023,,,,411,3.9,,,,,,,150,2,38.46153846,0,0,1,"August 2, 2024",FS,MSU,,,44,3.42,,,1.3,45,3.50,,,,0.01,,,,
Misty OKP,759621,6/18/2023,,,,527,4,,,,,,,150,2,37.5,0,0,1,"November 26, 2024",FS,MSU,,,52,4.04,,,0.5,43,3.34,,,,0.1,,,,
Misty OKP,759621,6/18/2023,,,,592,4,,,,,,,250,1,62.5,0,0,3,"January 30, 2025",FS,MSU,,,48,3.73,,,0.4,45,3.50,,,,0.08,,,,
Misty OKP,759621,6/18/2023,,,,638,4.3,,,,,,,200,1,46.51162791,0,0,5,"March 17, 2025",FS,MSU,,,39,3.03,,,0.3,44,3.42,,,,1.88,,,,
Misty OKP,759621,6/18/2023,,,,667,4.1,,,,,,,200,1,48.7804878,0,0,3,"April 15, 2025",FS,MSU,,,58,4.51,,,0.5,53,4.12,,,,0.26,,,,
Misty OKP,759621,6/18/2023,,,,719,4,,,,,,,150,1,37.5,0,0,4,"June 6, 2025",FS,MSU,,,74,5.75,,,0.4,45,3.50,,,,0.9,,,,
Misty OKP,759621,6/18/2023,,,,785,4,,,,,,,125,1,31.25,0,0,5,"August 11, 2025",FS,MSU,,,31,2.41,,,0.4,36,2.80,,,,3.75,,,,
Misty,759621,6/18/2023,,,,865,4,,,,,,,125,1,31.25,2.5,0.625,4,"October 30, 2025",FS,MSU,,,51,3.96,,,0.4,49,3.81,,,,1.8,,,,
Misty,759621,6/18/2023,,,,948,4.3,,,,,,,125,1,29.06976744,5,1.162790698,,"January 21, 2026",FS,MSU,,,72,5.59,,,0.7,64,4.97,,,,0.79,,,,
Misty,759621,6/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tadpole,761616,"October 4, 2023",,,1,59,0.327,2,2,2,3,,,,,,,,,Dec 2 2023,,Idexx,,,,,0.70,,,,,,,,,1.07,,,
Tadpole,761616,"October 4, 2023",,,,122,0.82,,,,,,,25,2,30.48780488,0,0,,"February 3, 2024",,Idexx,,,,,2.40,,,,,,,,,,,,
Tadpole,761616,"October 4, 2023",,,,150,1.3,,,,,,,37.5,2,28.84615385,0,0,1,"March 2, 2024",,Idexx,,,,,3.70,,,,,,,,,0.11,,,
Tadpole,,"October4, 2023",,,,732,2.7,,,,,,,100,2,37.03703704,0,0,3,"October 5, 2025",,Idexx,,,,,10.00,,,,,,,,,<0.03,,,
Tadpole,,"October4, 2023",,,,401,2.8,,,,,,,100,1,35.71428571,9,0,1,"November 8, 2024",,Idexx,,,,,5.00,,,,,,,,,0.05,,,
Tadpole,761616,"October4, 2023",,,,611,3,,,,,,,100,1,33.33333333,0,0,1,"June 6, 2025",,Idexx,,,,,2.70,,,,,,,,,0.03,,,
Tadpole,761616,10/4/2023,,,,806,3,,,,,,,100,1,33.33333333,0,0,1,"December 18, 2025",,Idexx,,,,,4.10,,,,,,,,,0.03,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kronk,767557,"April 6, 2024",,5/6/2024,1,28,0.314,1,1,1,2,7,,,,0,,,,"May 4, 2024",M,UCD,,,,<0.5,,,,,,<0.3,,,11.5,,>1.50,,
Pancake Circus aka Kronk,767557,"April 6, 2024",,,,74,1.3,,,,,,,75,2,57.69230769,0,0,2,"June 19, 2024",M,UCD,,,,3.20,,,,,,1.67,,,1.16,,,,
Pancake Circus aka Kronk,767557,"April 6, 2024",,,,93,1.5,,,,,,,100,2,66.66666667,0,0,1,"July 8, 2024",MC,UCD,,,,4.20,,,,2.53,,,,,<0.03,,,,
Pancake Circus aka Kronk,767557,"April 6, 2024",,,,221,3.8,,,,,,,100,2,26.31578947,0,0,1,"November 13, 2024",MC,MSU,,,41,3.19,,,0.6,46,3.57,,,,0.12,,,,
Pancake Circus aka Kronk,767557,"April 6, 2024",,,,311,4.6,,,,,,,100,2,21.73913043,0,0,3,"February 11, 2025",MC,MSU,,,55,4.27,,,0.3,45,3.50,,,,0.02,,,,
Pancake Circus aka Kronk,767557,"April 6, 2024",,,,465,5,,,,,,,100,2,20,0,0,3,"July 15, 2025",MC,MSU,,,68,5.28,,,0.6,69,5.36,,,,0.12,,,,
Pancake Circus aka Kronk,767557,"April 6, 2024",,,,520,5,,,,,,,150,1,30,0,0,1,"September 8, 2025",MC,MSU,,,46,3.57,,,0.4,33,2.56,,,,0.06,,,,
Pancake Circus aka Kronk,767557,4/6/2024,,,,655,5.27,,,,,,,150,1,28.4629981,0,0,3,"January 21, 2026",MC,MSU,,,74,5.75,,,0.6,57,4.43,,,,0.01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry,766439,"March 11,2024",,6/7/2024,1,88,1.1,1,1,2,2,,,,,,,,,"June 7, 2024",M,UCD,,,,<0.5,,,,,,<0.3,,,3.35,,,,
Berry,766439,3/11/2024,,,,106,1.3,,,,,,,75,2,57.69230769,0,0,2,"June 25, 2024",M,UCD,,,,3.50,,,,,,2.48,,,2.08,,,,
Berry,766439,3/11/2024,,,,126,1.9,,,,,,,100,2,52.63157895,0,0,1,"July 15, 2024",M,UCD,,,,4.70,,,,,,2.89,,,0.31,,,,
Berry,766439,3/11/2024,,,,232,3.9,,,,,,,125,2,32.05128205,0,0,1,"October 29, 2024",MC,MSU,,,52,4.04,,,0.5,49,3.81,,,,0.1,,,,
Berry,766439,3/11/2024,,,,324,5.1,,,,,,,125,2,24.50980392,0,0,1,"January 29, 2025",MC,MSU,,,35,2.72,,,,38,2.95,,,,0.05,,,,
Berry,766439,3/11/2024,,,,457,5.3,,,,,,,125,2,23.58490566,0,0,3,"June 11, 2025",MC,MSU,,,58,4.51,,,0.9,45,3.50,,,,0.04,,,,
Berry,766439,3/11/2024,,,,492,5.4,,,,,,,200,1,37.03703704,0,0,3,"July 16, 2025",MC,MSU,,,67,5.21,,,0.6,67,5.21,,,,0.17,,,,
Berry,766439,3/11/2024,,,,534,5.2,,,,,,,150,1,28.84615385,0,0,3,"August 27, 2025",MC,MSU,,,49,3.81,,,0.7,56,4.35,,,,0.05,,,,
Berry,766439,3/11/2024,,,,597,5.2,,,,,,,125,1,24.03846154,0,0,1,"October 29, 2025",MC,MSU,,,47,3.65,,,0.6,51,3.96,,,,0.04,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethel,767088,"April 16, 2024",,7/2/2024,1,77,0.795,2,1,2,3,6,,,,,,,,"July 2, 2024",F,UCD,,,,<0.5,,,,,,<0.3,,,2.16,,0.047,,
Ethel,767088,4/16/2024,,7/3/2024,,125,1.7,,2,,,8,,87.5,2,51.47058824,0,0,1,"August 19, 2024",F,UCD,,,,5.30,,,,,,2.95,,,<0.03,,,,
Ethel,767088,4/16/2024,,,,182,2.7,,,,,,,112.5,2,41.66666667,0,0,3,"October 15, 2024",FS,MSU,,,90,6.99,,,,69,5.36,,,,0.05,,,,
Ethel,767088,4/16/2024,,,,268,3.5,,,,,,,100,2,28.57142857,0,0,1,"January 9, 2025",FS,MSU,,,47,3.65,,,0.5,40,3.11,,,,0.04,,,,
Ethel,767088,4/16/2024,,,,440,3.8,,,,,,,200,2,52.63157895,0,0,3,"June 30, 2025",FS,MSU,,,59,4.58,,,0.6,51,3.96,,,,0.13,,,,
Ethel,767088,4/16/2024,,,,526,3.8,,,,,,,100,2,26.31578947,0,0,3,"September 24, 2025",FS,MSU,,,57,4.43,,,0.5,50,3.89,,,,0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Pea,769689,"June 1, 2024",,7/15/2024,1,44,0.57,2,2,2,3,,,,,,,,,July 15. 2024,F,UCD,,,,<0.5,,,,,,<0.3,,,7.28,,,,
Sweet Pea,769689,6/1/2024,,,,107,1.7,,,,,,,87.5,2,51.47058824,0,0,2,"September 16, 2024",F,UCD,,,,1.20,,,,,,0.55,,,0.09,,,,
Sweet Pea,769689,6/1/2024,,,,221,3.7,,,,,,,125,2,33.78378378,0,0,1,"January 8, 2025",FS,MSU,,,64,4.97,,,0.7,53,4.12,,,,0.06,,,,
Sweet Pea,769689,6/1/2024,,,,339,4.6,,,,,,,125,2,27.17391304,0,0,3,"May 6, 2025",FS,MSU,,,85,6.60,,,0.9,68,5.28,,,,0.03,,,,
Sweet Pea,769689,6/1/2024,,,,376,5,,,,,,,125,1,25,0,0,1,"June 12, 2025",FS,MSU,,,46,3.57,,,0.5,33,2.56,,,,0.14,,,,
Sweet Pea,769689,6/1/2024,,,,495,5.7,,,,,,,125,1,21.92982456,0,0,1,"October 9, 2025",FS,MSU,,,43,3.34,,,0.3,36,2.80,,,,0.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriole ,772893,"May 16, 2024",,6/25/2024,1,40,0.427,1,2,2,2,,,,,,,,,6/25/2024,M,Idexx,,,,,,,,,,,<0.3,,,,,,
Oriole ,772893,5/16/2024,,,,56,0.591,,,,,,,10,1,16.92047377,0,0,2,7/11/2024,M,MSU,,,10,0.78,,,0.4,,,,,5,6.52,,,,
Oriole ,772893,5/16/2024,,,,98,1.47,,,,,,,75,2,51.02040816,0,0,,8/22/2024,M,MSU,,,43,3.34,,,1.7,47,3.65,,,,0.55,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini-Me Calio,772821,"July 6, 2024",,8/29/2024,1,53,0.34,2,1,2,3,,1,,,,,,,8/28/2024,F,Idexx,,,,,<0.4,,,,,,<0.3,,,5.88,,,Necropsy in comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrot,773339,"August 4, 2024",,9/13/2024,1,40,0.49,2,1,2,3,,,0,,,,0,0,9/13/2024,M,UCD,,,,<0.5,,,,,,<0.3,,,8.46,,>1.50,,
Carrot,773339,8/4/2024,,,,81,1.245,2,2,,,,,62.5,2,50.20080321,0,0,1,10/24/2024,M,UD,,,,4.90,,,,,,3.09,,,0.21,,,,
Carrot,773339,8/4/2024,,,,158,2.9,2,,,,,,125,2,43.10344828,0,0,1,"January 9, 2025",MC,MSU,,,58,4.51,,,0.6,54,4.20,,,,0.02,,,,
Carrot,773339,8/4/2024,,,,275,4.5,2,,,,,,150,2,33.33333333,0,0,3,"May 6, 2025",MC,MSU,,,117,9.09,,,0.9,85,6.60,,,,0.03,,,,
Carrot,773339,8/4/2024,,,,305,4.475,2,,,,,,100,2,22.34636872,0,0,1,"June 5, 2025",MC,MSU,,,49,3.81,,,0.03,56,4.35,,,,0.08,,,,
Carrot,773339,8/4/2024,,,,346,4.9,2,,,,,,150,1,30.6122449,0,0,1,"July 16, 2025",MC,MSU,,,43,3.34,,,0.5,53,4.12,,,,0.12,,,,
Carrot,773339,8/5/2024,,,,477,4.9,2,,,,,,150,1,30.6122449,0,0,,"November 25, 2025",MC,MSU,,,54,4.20,,,0.7,47,3.65,,,,0.06,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powder,772244,"July 9, 2024",,9/18/2024,1,71,0.875,1,2,2,3,,,0,0,0,,0,,9/18/2024,M,UCD,,,,<0.5,,,,,,<0.30,,,7.91,,,,
Powder,772244,7/9/2024,,,,98,1.4,2,,,,,,62.5,2,44.64285714,0,0,2,10/15/2024,M,MSU,,,27,2.10,,,,23,1.79,,,,4.51,,,,
Powder,772244,7/9/2024,,,,173,2.94,2,,,,,,100,2,34.01360544,0,0,2,12/29/2024,MC,MSU,,,41,3.19,,,0.5,37,2.87,,,,6.33,,,,
Powder,772244,7/9/2024,,,,225,3.1,2,,,,,,125,2,40.32258065,0,0,2,"February 19,2025",MC,MSU,,,42,3.26,,,0.4,31,2.41,,,,0.68,,,,
Powder,772244,7/9/2024,,,,260,3.4,2,,,,,,150,2,44.11764706,0,0,1,"March 26,2025",MC,MSU,,,53,4.12,,,0.6,53,4.12,,,,0.05,,,,
Powder,772244,7/9/2024,,,,341,4.2,2,,,,,,150,2,35.71428571,0,0,1,"June 15, 2025",MC,MSU,,,75,5.83,,,0.4,66,5.13,,,,0.07,,,,
Powder,772244,7/9/2024,,,,427,4.4,2,,,,,,200,1,45.45454545,0,0,3,"September 9, 2025",MC,MSU,,,52,4.04,,,0.3,64,4.97,,,,0.08,,,,
Powder,772244,7/9/2024,,,,482,4.57,2,,,,,,150,1,32.82275711,0,0,3,"November 3, 2025",MC,MSU,,,49,3.81,,,0.4,39,3.03,,,,0.15,,,,
Powder,772244,7/9/2024,,,,574,4.62,2,,,,,,125,1,27.05627706,0,0,2,"February 3, 2026",MC,MSU,,,21,1.63,,,0.5,27,2.10,,,,1.65,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamachi,775841,"May 6, 2024",,9/5/2024,1,122,2.3,1,2,2,2,,,,0,0,0,0,,9/5/2024,MC,VCA?,,,,<0.5,,,,,,,,3.5,,,,,
Hamachi,775841,"May 6, 2024",,,,203,2.5,1,2,,,,,50,2,20,0,0,2,11/25/2024,MC,UCD,,,,0.60,,,,,,<0.3,,,>12,,,,
Hamachi,775841,"May 6, 2024",,,,248,3.2,2,,,,,,125,2,39.0625,0,0,1,"January 9, 2025",MC,MSU,,,44,3.42,,,0.8,46,3.57,,,,0.09,,,,
Hamachi,775841,"May 6, 2024",,,,365,4.4,2,,,,,,125,2,28.40909091,0,0,3,"May 6, 2025",MC,MSU,,,70,5.44,,,0.8,61,4.74,0.02,,,,,,,
Hamachi,775841,"May 6, 2024",,,,402,4.4,2,,,,,,125,1,28.40909091,0,0,3,"June 12, 2025",MC,MSU,,,54,4.20,,,0.7,37,2.87,,,,0.08,,,,
Hamachi,775841,"May 6, 2024",,,,521,5.3,2,,,,,,125,1,23.58490566,0,0,4,"October 9,2025",MC,MSU,,,50,3.89,,,0.3,43,3.34,,,,0.59,,,,
Hamachi,775841,"May 6, 2024",,,,612,5.3,2,,,,,,125,1,23.58490566,0,0,3,"January 8, 2026",MC,MSU,,,60,4.66,,,0.7,53,4.12,,,,0.29,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,104756,"October 3, 2024",,2/14/2025,1,134,1.2,1,3,3,3,,,,,,,,,"February 14, 2025",MC,Zoetis,,,,<0.5,,,<0.3,,,,,,1.06,,,,
Yeti,104756,10/3/2024,,,,204,2,1,,,,,,50,2,25,0,0,,"April 25, 2025",MC,Zoetis,,,,2.20,,,,,,,,,,,,,
Yeti,104756,10/3/2024,,,,298,3.7,1,,,,,,100,1,27.02702703,0,0,1,"July 28, 2025",MC,MSU,,,49,3.81,,,0.7,42,3.26,,,,0.18,,,,
Yeti,104756,10/3/2024,,,,425,5.07,1,,,,,,100,1,19.72386588,0,0,1,"December 2,2025",MC,MSU,,,46,3.57,,,0.6,46,3.57,,,,0.39,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratus,106160,"April 22, 2025",,8/8/2025,1,108,1.45,2,2,1,3,,,,,,,,,"August 8, 2025",M,Idexx,,,,<0.4,,,,<3.9,<0.3,,,,1.68,,,,
Stratus,106160,4/22/2025,,,,120,1.45,,,,,,,,,,,,,"August 20, 2025",M,MSU,,,<4,<0.69,,,<0.3,8,0.62,,,,1.63,,,,
Stratus,106160,4/22/2025,,,,149,1.91,,,,,,,75,2,39.26701571,0,0,1,"September 18, 2025",M,MSU,,,50,3.89,,,0.9,55,4.27,,,,0.02,,,,
Stratus aka Figaro,106160,4/22/2025,,,,195,2.7,,,,,,,100,2,37.03703704,0,0,3,"November 3, 2025",MC,MSU,,,81,6.29,,,0.9,62,4.82,,,,0.02,,,,
Figaro,106160,4/22/2025,,,,226,3,,,,,,,100,2,33.33333333,0,0,,"December 4, 2025",MC,MSU,,,66,5.13,,,0.7,54,4.20,,,,0.03,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benny,108684,"July 21, 2025",,10/4/2025,1,81,0.98,2,1,2,3,,,,,,,,,"October 10, 2025",M,MSU,,,12,0.93,,,<0.3,12,0.93,,,,>12,,,,
Benny,108684,7/21/2025,,,,100,1.4,2,,,,,,50,2,35.71428571,0,0,4,"October 29, 2025",M,UCD,,,,6.30,,,,,,2.44,,,2.69,,,,
Benny,108684,7/21/2025,,,,169,3.2,2,,,,,,100,2,31.25,0,0,3,"January 6, 2026",MC,MSU,,,92,7.15,,,0.6,66,5.13,,,,0.15,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lydia,109367,"July 23, 2025",,10/23/2025,1,80,0.85,1,2,,3,,,0,0,0,0,0,,"October 11, 2025",D,Idexx,,,,,<0.4,,,,,,,,,,,,
Lydia,109367,7/23/2025,,,,92,0.85,,,,,,,,,,,,,"October 23, 2025",F,UCD,,,,,,,,,,,,,2.99,,,,
Lydia,109367,7/23/2025,,,,92,0.85,,,,,,,,,,,,2,"October 23, 2025",F,MSU,,,0,,,,< 0.3,5,0.39,,,,3.05,,,,
Lydia,109367,7/23/2025,,,,133,1.5,2,,,,,,75,2,50,0,0,5,"December 3, 2025",F,UCD,,,,5.50,,,,,,2.95,,,0.69,,,,
Lydia,109367,7/23/2025,,,,168,2.5,2,,,,,,75,2,30,0,0,5,"January 7,2026",FS,MSU,,,42,3.26,,,0.6,39,3.03,,,,2.98,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critter,110104,"September 4,2025",,10/13/2025,1,39,0.76,2,3,3,3,,,,,,,,,"October 13, 2025",M,MSU,,,4,0.31,,,< 0.3,9,0.70,,,,9.73,,,,
Critter,110104,9/4/2025,,,,58,1.179,2,,,,,,50,2,42.40882103,0,0,2,"November 1, 2025",MC,MSU,,,65,5.05,,,0.04,49,3.81,,,,0.62,,,,
